Z N A b2 Qb T12cal T12exp 
32 48 80 0.14 2.679 1.815E+02 2.950E+01 
33 50 83 0.00 5.672 7.033E+00 1.340E+01 
46 76 122 0.01 6.490 7.702E-01 1.950E-01 
37 56 93 -0.17 7.466 3.569E-01 5.840E+00 
43 68 111 -0.23 7.760 3.762E-01 3.500E-01 
59 88 147 0.21 2.703 6.678E+01 8.040E+02 
11 17 28 0.08 14.031 2.440E-01 3.050E-02 
40 71 111 0.46 11.315 1.539E-02 2.400E-02 
80 127 207 -0.01 4.547 8.754E+00 1.740E+02 
43 76 119 -0.02 12.193 2.685E-02 2.200E-02 
29 44 73 0.12 6.606 2.202E+00 4.200E+00 
25 34 59 0.22 5.140 1.840E+01 4.590E+00 
46 80 126 0.00 8.820 1.367E-01 4.860E-02 
54 91 145 0.20 8.561 1.517E-01 1.880E-01 
44 78 122 0.00 9.930 5.419E-02 2.500E-02 
47 83 130 0.03 15.421 6.281E-02 4.200E-02 
55 92 147 0.23 8.344 1.012E-01 2.300E-01 
38 56 94 -0.14 3.505 6.985E+00 7.530E+01 
47 73 120 0.04 8.306 6.502E-01 1.230E+00 
49 70 119 -0.06 2.366 3.566E+02 1.440E+02 
39 65 104 0.43 11.660 8.499E-02 1.980E-01 
32 52 84 0.15 7.706 7.060E-01 9.540E-01 
93 151 244 0.28 3.396 3.137E+01 1.374E+02 
41 71 112 -0.20 13.190 1.484E-02 3.800E-02 
89 144 233 0.25 2.576 1.372E+01 1.450E+02 
31 48 79 0.14 6.979 1.962E+00 2.847E+00 
48 84 132 0.00 11.912 4.119E-02 8.200E-02 
59 94 153 0.33 5.762 9.314E-01 4.280E+00 
36 62 98 -0.28 10.058 1.147E-02 4.280E-02 
86 142 228 0.22 1.859 4.614E+01 6.500E+01 
32 51 83 0.10 8.693 6.488E-01 1.850E+00 
80 126 206 0.00 1.307 4.430E+02 4.992E+02 
25 44 69 0.21 14.260 4.043E-03 1.600E-02 
13 25 38 0.33 20.380 3.888E-03 7.600E-03 
49 80 129 0.03 7.753 1.454E+00 5.700E-01 
49 78 127 0.04 6.575 2.437E+00 1.090E+00 
14 21 35 -0.08 10.467 6.865E-01 7.800E-01 
54 85 139 0.11 5.056 3.554E+00 3.968E+01 
17 28 45 -0.21 11.508 1.492E-01 4.130E-01 
38 65 103 0.43 11.036 4.184E-02 5.300E-02 
13 18 31 0.15 7.998 2.780E+00 6.440E-01 
22 35 57 0.01 10.497 1.887E-01 9.500E-02 
30 53 83 0.15 12.967 6.289E-02 1.270E-01 
62 100 162 0.35 4.173 1.872E+00 2.400E+00 
29 42 71 0.06 4.618 2.439E+01 1.940E+01 
23 34 57 0.14 8.112 1.009E+00 3.500E-01 
50 88 138 0.00 9.359 9.675E-02 1.400E-01 
51 88 139 0.10 10.417 1.042E-01 9.300E-02 
49 72 121 -0.05 3.361 4.888E+01 2.310E+01 
48 83 131 -0.02 12.806 7.390E-02 9.800E-02 
12 17 29 -0.14 7.605 3.796E+00 1.300E+00 
12 23 35 0.35 15.864 1.089E-02 7.000E-02 
43 66 109 -0.23 6.455 2.981E-01 1.140E+00 
88 141 229 0.23 1.872 7.310E+01 2.400E+02 
38 63 101 0.43 9.736 6.539E-02 1.138E-01 
13 20 33 0.04 12.017 1.932E-01 4.170E-02 
51 87 138 0.06 11.476 2.481E-01 3.500E-01 
34 53 87 0.15 7.466 1.120E+00 5.500E+00 
48 74 122 0.00 2.961 4.927E+01 5.240E+00 
61 98 159 0.37 5.654 1.193E+00 1.500E+00 
20 30 50 0.00 4.958 1.134E+01 1.390E+01 
50 85 135 0.01 9.058 2.207E-01 5.150E-01 
71 112 183 0.27 3.567 8.630E+00 5.800E+01 
37 64 101 0.41 12.480 2.055E-02 3.180E-02 
34 50 84 0.00 1.835 8.618E+02 1.956E+02 
87 137 224 0.17 2.923 8.194E+01 1.998E+02 
39 64 103 0.44 9.357 1.680E-01 2.390E-01 
43 71 114 -0.21 11.622 4.026E-02 1.200E-01 
21 33 54 -0.06 11.731 1.050E+00 5.260E-01 
74 115 189 0.20 2.361 5.541E+01 6.420E+02 
59 93 152 0.33 6.391 8.710E-01 3.630E+00 
39 57 96 -0.17 7.103 4.648E+00 5.340E+00 
60 91 151 0.31 2.443 8.672E+01 7.464E+02 
75 116 191 0.17 2.045 1.092E+02 5.880E+02 
10 13 23 0.34 4.376 1.717E+02 3.714E+01 
36 59 95 -0.28 9.732 6.771E-02 1.140E-01 
75 115 190 0.19 3.072 5.247E+01 1.860E+02 
24 34 58 0.17 3.836 2.848E+01 7.000E+00 
43 62 105 -0.23 3.644 1.884E+01 4.560E+02 
40 60 100 -0.21 3.420 5.492E+00 7.100E+00 
31 47 78 0.18 8.156 1.620E+00 5.090E+00 
41 73 114 -0.19 14.420 9.649E-03 1.700E-02 
24 39 63 -0.05 10.880 1.091E-01 1.290E-01 
77 123 200 -0.10 4.988 3.465E+01 4.400E+01 
52 84 136 0.00 5.120 2.485E+00 1.763E+01 
18 25 43 0.06 4.565 4.696E+01 3.222E+02 
83 134 217 -0.03 2.846 4.753E+02 9.850E+01 
43 73 116 -0.20 12.613 2.316E-02 5.700E-02 
85 137 222 0.14 4.581 5.230E+00 5.400E+01 
43 64 107 -0.23 5.113 1.223E+00 2.120E+01 
60 96 156 0.35 3.690 4.019E+00 5.060E+00 
88 146 234 0.26 2.090 2.030E+01 3.000E+01 
49 79 128 0.04 9.216 1.398E+00 8.100E-01 
58 93 151 0.32 5.555 1.164E+00 1.760E+00 
68 106 174 0.32 1.916 9.189E+01 1.920E+02 
23 32 55 0.08 5.965 8.683E+00 6.540E+00 
64 102 166 0.35 3.355 8.394E+00 4.800E+00 
85 136 221 0.13 2.312 3.223E+01 1.380E+02 
56 90 146 0.21 4.103 1.988E+00 2.220E+00 
15 28 43 -0.27 16.875 3.486E-02 3.580E-02 
14 26 40 0.30 13.544 7.542E-02 3.300E-02 
27 47 74 0.08 15.636 2.046E-02 3.000E-02 
19 32 51 -0.06 13.816 1.506E-01 3.650E-01 
25 42 67 -0.02 12.150 1.445E-01 4.670E-02 
64 98 162 0.35 1.396 4.024E+02 5.040E+02 
47 85 132 0.03 16.710 1.759E-02 2.800E-02 
32 47 79 0.17 4.109 3.113E+01 1.898E+01 
16 30 46 -0.17 14.199 6.382E-02 5.000E-02 
42 65 107 -0.23 6.198 1.093E+00 3.500E+00 
49 81 130 0.04 10.249 3.246E+00 2.840E-01 
81 131 212 0.00 5.998 2.788E+01 1.000E+02 
21 30 51 -0.07 6.504 2.269E+01 1.240E+01 
48 85 133 0.01 13.544 3.729E-02 6.400E-02 
48 72 120 0.00 1.771 6.521E+02 5.080E+01 
40 68 108 -0.22 8.193 8.458E-02 7.850E-01 
16 24 40 0.24 4.720 2.571E+01 8.800E+00 
25 32 57 0.23 2.696 6.379E+02 8.540E+01 
26 45 71 0.18 12.940 2.310E-02 2.800E-02 
17 23 40 0.19 7.482 1.372E+01 8.100E+01 
62 95 157 0.35 2.781 5.126E+01 4.818E+02 
44 72 116 0.00 6.667 3.943E-01 2.040E-01 
45 78 123 0.00 11.070 7.886E-02 4.200E-02 
18 26 44 0.07 3.108 2.531E+02 7.122E+02 
10 18 28 0.00 12.288 5.803E-02 1.890E-02 
29 41 70 0.06 6.589 1.190E+02 4.450E+01 
23 40 63 0.01 14.117 7.247E-03 1.830E-02 
43 70 113 -0.22 9.056 5.314E-02 1.520E-01 
45 67 112 -0.23 6.591 3.416E+00 3.400E+00 
23 31 54 0.13 7.042 1.129E+01 4.980E+01 
29 46 75 0.13 8.088 7.979E-01 1.224E+00 
88 143 231 0.25 2.453 1.922E+01 1.040E+02 
25 40 65 0.02 10.251 2.250E-01 9.200E-02 
54 90 144 0.20 6.399 3.179E-01 3.880E-01 
31 43 74 0.07 5.372 9.181E+01 4.872E+02 
41 66 107 -0.22 8.828 5.350E-02 1.950E-01 
20 31 51 -0.02 6.897 3.868E+00 1.000E+01 
53 87 140 0.16 9.380 3.020E-01 8.600E-01 
64 99 163 0.35 3.282 1.239E+01 6.800E+01 
78 126 204 0.00 2.728 1.182E+01 1.030E+01 
56 89 145 0.20 5.319 1.316E+00 4.310E+00 
72 114 186 0.23 2.184 4.985E+01 1.560E+02 
58 92 150 0.31 3.453 7.471E+00 4.000E+00 
37 60 97 0.41 10.062 7.507E-02 1.691E-01 
15 27 42 0.29 18.648 2.037E-02 4.850E-02 
57 89 146 0.20 6.585 2.471E+00 6.270E+00 
55 90 145 0.20 7.462 2.095E-01 5.820E-01 
45 79 124 0.02 13.500 6.394E-02 3.000E-02 
62 98 160 0.35 3.245 6.336E+00 9.600E+00 
39 62 101 0.44 8.105 4.222E-01 4.260E-01 
23 41 64 -0.04 17.160 8.373E-03 1.900E-02 
42 59 101 0.29 2.825 1.943E+02 8.766E+02 
28 39 67 -0.04 3.577 7.024E+01 2.100E+01 
33 52 85 0.15 9.225 4.480E-01 2.021E+00 
57 91 148 0.26 7.689 5.764E-01 1.260E+00 
47 82 129 0.01 11.078 6.321E-02 5.200E-02 
64 97 161 0.34 1.956 2.308E+02 2.188E+02 
22 33 55 0.00 7.477 2.403E+00 1.300E+00 
22 32 54 0.00 4.271 2.651E+01 1.500E+00 
87 144 231 0.24 3.865 2.128E+00 1.760E+01 
55 87 142 0.17 7.327 7.972E-01 1.684E+00 
93 150 243 0.28 2.121 2.610E+01 1.110E+02 
56 91 147 0.24 6.414 6.160E-01 8.940E-01 
21 32 53 -0.06 7.924 4.974E+00 2.400E+00 
26 40 66 0.00 6.341 1.641E+00 3.510E-01 
61 96 157 0.37 4.381 5.525E+00 1.056E+01 
71 109 180 0.28 3.103 1.450E+02 3.420E+02 
28 47 75 0.03 10.441 1.738E-01 3.410E-01 
42 74 116 0.00 9.956 2.514E-02 3.200E-02 
11 24 35 0.43 22.591 9.658E-04 1.500E-03 
24 35 59 -0.12 7.439 1.744E+00 1.050E+00 
41 59 100 0.33 6.396 1.726E+01 1.500E+00 
77 120 197 -0.11 2.156 7.262E+01 3.480E+02 
14 19 33 -0.08 5.823 2.057E+01 6.180E+00 
39 67 106 0.42 12.497 3.065E-02 8.200E-02 
57 90 147 0.24 5.336 1.707E+00 4.060E+00 
26 44 70 0.12 10.120 5.574E-02 7.700E-02 
33 47 80 0.18 5.545 3.351E+01 1.520E+01 
75 117 192 0.16 4.293 1.538E+01 1.600E+01 
12 24 36 0.41 14.430 7.166E-03 3.900E-03 
86 139 225 0.19 2.713 1.436E+01 2.796E+02 
63 102 165 0.35 5.729 1.139E+00 2.700E+00 
45 72 117 0.05 7.527 6.275E-01 4.210E-01 
26 41 67 -0.04 9.712 3.831E-01 3.940E-01 
63 97 160 0.35 4.462 1.985E+01 3.800E+01 
38 64 102 0.43 9.014 6.821E-02 6.900E-02 
22 36 58 0.00 9.292 9.319E-02 5.500E-02 
16 21 37 -0.07 4.866 1.484E+02 3.030E+02 
25 33 58 0.23 6.327 1.870E+01 3.000E+00 
34 52 86 0.12 5.129 4.479E+00 1.430E+01 
16 25 41 0.28 8.298 1.916E+00 1.990E+00 
12 19 31 -0.08 11.829 4.185E-01 2.320E-01 
57 92 149 0.30 6.450 4.650E-01 1.050E+00 
88 144 232 0.25 1.343 1.436E+02 2.400E+02 
42 73 115 -0.18 11.571 2.797E-02 4.550E-02 
13 16 29 0.21 3.687 2.657E+02 3.936E+02 
17 25 42 0.24 9.591 2.401E+00 6.800E+00 
10 21 31 -0.07 18.936 4.918E-03 3.400E-03 
34 55 89 0.20 9.282 7.741E-02 4.100E-01 
41 57 98 -0.20 4.591 1.192E+02 2.860E+00 
87 139 226 0.20 3.853 1.787E+01 4.900E+01 
16 27 43 0.31 11.965 1.959E-01 2.650E-01 
30 47 77 0.17 7.203 1.376E+00 2.080E+00 
38 55 93 0.06 4.141 3.995E+01 4.458E+02 
31 54 85 0.20 13.274 4.767E-02 9.300E-02 
41 69 110 -0.23 12.233 2.192E-02 8.200E-02 
30 52 82 0.14 10.617 1.307E-01 2.280E-01 
42 63 105 0.38 4.953 9.278E+00 3.560E+01 
22 38 60 0.00 10.912 1.796E-02 2.220E-02 
51 82 133 -0.02 4.013 1.683E+01 1.404E+02 
68 105 173 0.32 2.602 4.269E+01 8.604E+01 
32 53 85 0.16 10.066 2.306E-01 5.400E-01 
15 24 39 0.23 10.388 5.899E-01 2.820E-01 
42 68 110 -0.23 6.492 1.030E-01 2.920E-01 
53 86 139 0.14 7.174 6.336E-01 2.282E+00 
40 70 110 -0.20 9.424 4.583E-02 3.750E-02 
53 89 142 0.17 10.460 1.669E-01 2.220E-01 
35 56 91 0.20 9.867 1.148E-01 5.410E-01 
28 49 77 0.05 11.824 1.665E-01 1.240E-01 
53 83 136 0.04 6.884 1.940E+01 8.340E+01 
48 77 125 -0.01 7.129 9.719E-01 6.800E-01 
15 29 44 0.15 19.654 3.019E-02 1.850E-02 
30 49 79 0.09 9.116 6.415E-01 9.950E-01 
61 94 155 0.36 3.251 2.264E+01 4.150E+01 
90 147 237 0.27 2.427 1.773E+01 2.880E+02 
67 105 172 0.33 5.000 3.683E+00 2.500E+01 
23 39 62 -0.05 15.419 1.593E-02 3.360E-02 
10 17 27 -0.10 12.569 1.642E-01 3.150E-02 
44 66 110 -0.23 2.756 3.149E+01 1.204E+01 
36 58 94 -0.24 7.215 1.799E-01 2.120E-01 
21 29 50 -0.07 6.885 2.465E+02 1.025E+02 
38 67 105 0.42 12.660 1.511E-02 3.900E-02 
50 84 134 0.00 7.587 3.028E-01 8.900E-01 
27 36 63 0.12 3.662 9.603E+01 2.690E+01 
44 74 118 0.00 7.627 2.201E-01 9.900E-02 
46 78 124 0.00 7.810 2.843E-01 8.800E-02 
61 95 156 0.36 5.196 1.123E+01 2.670E+01 
50 82 132 0.00 3.088 3.808E+00 3.970E+01 
60 94 154 0.34 2.687 2.273E+01 2.590E+01 
51 86 137 0.07 9.244 2.760E-01 4.840E-01 
20 36 56 0.00 10.954 3.832E-02 1.100E-02 
43 63 106 -0.22 6.547 5.596E+00 3.560E+01 
42 70 112 -0.21 7.795 1.126E-01 1.250E-01 
21 34 55 -0.07 11.509 4.752E-01 9.600E-02 
42 71 113 -0.20 10.322 6.375E-02 8.000E-02 
36 53 89 0.12 5.176 7.980E+00 1.890E+02 
87 142 229 0.22 3.106 5.848E+00 5.020E+01 
26 39 65 -0.05 7.967 1.075E+00 8.100E-01 
56 92 148 0.25 5.115 7.365E-01 6.120E-01 
19 35 54 -0.09 20.159 7.016E-03 1.000E-02 
78 125 203 0.00 3.516 2.525E+01 2.200E+01 
50 86 136 0.00 8.608 1.533E-01 3.500E-01 
91 147 238 0.27 3.586 2.573E+01 1.362E+02 
23 35 58 0.14 11.590 3.054E-01 1.910E-01 
19 27 46 -0.10 7.725 4.579E+01 1.050E+02 
26 43 69 0.05 11.249 2.430E-01 1.100E-01 
79 123 202 -0.01 2.992 4.001E+02 2.840E+01 
44 77 121 0.01 11.203 7.007E-02 2.900E-02 
37 58 95 -0.22 9.229 1.226E-01 3.777E-01 
49 88 137 0.05 14.748 2.881E-02 6.500E-02 
86 141 227 0.22 3.204 5.534E+00 2.080E+01 
26 35 61 -0.15 3.978 4.798E+01 3.588E+02 
44 69 113 -0.23 6.900 4.621E-01 8.000E-01 
17 29 46 -0.18 15.914 7.417E-02 2.320E-01 
23 30 53 0.18 3.436 2.043E+02 9.258E+01 
43 75 118 -0.01 13.470 3.987E-02 3.000E-02 
34 57 91 0.23 10.527 2.442E-02 2.700E-01 
54 87 141 0.16 6.281 8.068E-01 1.730E+00 
53 85 138 0.11 7.992 9.103E-01 6.230E+00 
46 82 128 0.00 10.130 6.070E-02 3.500E-02 
87 145 232 0.25 5.576 1.585E+00 5.500E+00 
38 57 95 -0.18 6.089 2.384E+00 2.390E+01 
16 29 45 -0.20 14.273 1.008E-01 6.800E-02 
28 40 68 0.00 2.103 1.234E+02 2.900E+01 
45 82 127 0.00 13.150 1.820E-02 2.000E-02 
15 25 40 0.28 14.724 1.131E-01 1.500E-01 
31 45 76 0.19 6.916 5.396E+00 3.260E+01 
55 93 148 0.23 10.683 7.027E-02 1.460E-01 
46 83 129 -0.02 14.370 3.765E-02 3.100E-02 
38 66 104 0.42 9.958 3.948E-02 5.300E-02 
43 72 115 -0.20 9.870 3.702E-02 7.800E-02 
90 145 235 0.26 1.729 9.971E+01 4.320E+02 
39 69 108 0.44 14.056 6.869E-03 3.000E-02 
44 67 111 -0.23 5.519 2.319E+00 2.120E+00 
13 17 30 0.19 8.568 7.012E+00 3.620E+00 
87 135 222 0.15 2.058 9.728E+02 8.520E+02 
77 125 202 0.00 5.916 5.838E+01 1.300E+01 
27 45 72 0.10 14.026 6.458E-02 5.990E-02 
47 71 118 0.15 7.148 3.631E+00 3.760E+00 
68 107 175 0.31 3.659 7.447E+00 7.200E+01 
87 141 228 0.22 4.444 6.356E+00 3.800E+01 
48 76 124 0.00 4.168 7.886E+00 1.250E+00 
48 78 126 0.00 5.516 1.834E+00 5.130E-01 
43 74 117 -0.02 11.108 4.181E-02 4.450E-02 
11 23 34 0.38 23.357 1.079E-03 5.500E-03 
31 49 80 0.09 10.311 1.054E+00 2.030E+00 
40 59 99 0.38 4.714 1.127E+01 2.100E+00 
76 124 200 0.00 2.832 1.142E+01 7.000E+00 
42 61 103 0.38 3.643 5.201E+01 6.750E+01 
34 54 88 0.18 6.832 6.587E-01 1.530E+00 
77 121 198 -0.10 4.083 2.183E+01 8.000E+00 
27 42 69 -0.04 9.700 2.844E-01 2.270E-01 
27 37 64 0.10 7.307 2.377E+01 3.000E-01 
44 80 124 0.00 10.930 3.300E-02 1.500E-02 
27 40 67 0.05 8.421 8.838E-01 3.290E-01 
45 70 115 -0.22 6.196 8.643E-01 9.900E-01 
45 77 122 0.02 12.536 9.648E-02 5.100E-02 
57 87 144 0.17 5.582 9.267E+00 4.080E+01 
40 62 102 0.41 4.717 4.034E+00 2.900E+00 
46 71 117 0.13 5.758 3.019E+00 4.300E+00 
87 138 225 0.17 1.828 6.229E+01 2.370E+02 
12 18 30 0.00 6.981 3.361E+00 3.130E-01 
34 51 85 0.08 6.161 4.735E+00 3.170E+01 
47 79 126 -0.02 11.577 2.082E-01 9.800E-02 
50 87 137 0.01 10.272 1.133E-01 2.300E-01 
46 74 120 0.02 5.371 2.234E+00 4.920E-01 
31 46 77 0.18 5.221 7.674E+00 1.320E+01 
14 22 36 0.03 7.815 2.566E+00 4.500E-01 
10 16 26 0.00 7.342 1.801E+00 1.970E-01 
20 33 53 0.00 9.519 6.069E-01 4.610E-01 
83 136 219 0.06 3.602 1.495E+01 2.200E+01 
49 76 125 -0.03 5.419 1.710E+01 2.360E+00 
75 120 195 -0.12 3.933 5.189E+00 6.000E+00 
38 59 97 0.47 7.540 1.234E-01 4.290E-01 
19 33 52 -0.06 17.128 7.324E-02 1.100E-01 
48 81 129 0.03 9.780 2.016E+00 1.545E-01 
44 65 109 -0.23 4.261 1.414E+01 3.450E+01 
12 21 33 0.11 13.459 1.527E-01 9.050E-02 
15 23 38 0.22 12.239 2.513E-01 6.400E-01 
42 76 118 0.00 11.160 1.524E-02 1.900E-02 
44 73 117 0.02 9.407 1.762E-01 1.510E-01 
39 66 105 0.43 10.195 8.208E-02 1.070E-01 
39 58 97 0.48 6.822 1.689E+00 3.750E+00 
29 49 78 0.10 12.986 4.031E-01 3.350E-01 
54 93 147 0.23 9.560 7.864E-02 1.300E-01 
48 80 128 0.00 6.904 4.924E-01 2.450E-01 
63 99 162 0.35 5.577 2.828E+00 1.060E+01 
47 77 124 0.03 10.502 4.010E-01 1.800E-01 
24 36 60 0.10 6.298 1.759E+00 4.900E-01 
41 67 108 -0.22 11.210 3.293E-02 2.100E-01 
37 55 92 0.18 8.095 1.498E+00 4.492E+00 
25 41 66 -0.05 13.318 1.439E-01 6.420E-02 
46 69 115 0.21 4.557 1.392E+01 2.500E+01 
46 72 118 0.05 4.165 4.661E+00 1.900E+00 
55 88 143 0.18 6.261 5.709E-01 1.791E+00 
56 88 144 0.19 3.083 8.011E+00 1.150E+01 
76 121 197 -0.10 2.955 1.755E+01 1.680E+02 
56 86 142 0.15 2.182 1.227E+02 6.360E+02 
54 86 140 0.14 4.064 5.780E+00 1.360E+01 
41 72 113 -0.19 11.979 1.198E-02 3.200E-02 
47 69 116 0.19 6.169 1.182E+01 2.298E+02 
29 40 69 -0.03 2.682 8.823E+02 1.710E+02 
65 102 167 0.35 4.004 6.352E+00 1.900E+01 
30 41 71 -0.05 2.810 3.342E+02 1.470E+02 
30 48 78 0.10 6.223 2.076E+00 1.470E+00 
19 29 48 -0.10 11.941 7.073E-01 6.800E+00 
58 87 145 0.18 2.559 7.396E+01 1.806E+02 
25 38 63 0.03 8.749 7.586E-01 2.750E-01 
19 31 50 0.06 13.861 2.207E-01 4.720E-01 
93 148 241 0.28 1.305 3.365E+02 8.340E+02 
45 64 109 0.26 2.607 2.194E+02 8.000E+01 
35 57 92 -0.26 12.536 5.419E-02 3.430E-01 
60 93 153 0.34 3.318 1.648E+01 3.160E+01 
13 22 35 0.24 14.167 1.916E-02 3.720E-02 
29 48 77 0.10 10.165 3.234E-01 4.679E-01 
59 92 151 0.33 4.163 5.833E+00 1.890E+01 
32 50 82 0.00 4.690 8.335E+00 4.560E+00 
49 82 131 0.02 9.240 2.046E-01 2.610E-01 
21 36 57 -0.06 12.920 1.242E-01 2.200E-02 
65 103 168 0.35 5.837 1.987E+00 8.200E+00 
45 75 120 0.00 11.465 1.843E-01 1.310E-01 
31 53 84 0.17 14.060 6.728E-02 8.500E-02 
54 88 142 0.17 5.285 9.005E-01 1.230E+00 
39 60 99 0.46 6.971 1.159E+00 1.484E+00 
69 107 176 0.31 4.120 2.248E+01 1.110E+02 
56 87 143 0.17 4.235 4.549E+00 1.450E+01 
11 19 30 0.05 17.359 5.599E-02 4.840E-02 
80 129 209 0.01 5.001 1.471E+00 3.700E+01 
23 36 59 -0.04 10.254 1.831E-01 9.500E-02 
82 131 213 0.00 2.028 8.438E+01 6.120E+02 
49 74 123 -0.04 4.386 1.180E+01 6.170E+00 
44 76 120 0.00 8.803 1.062E-01 4.500E-02 
38 68 106 0.42 11.263 1.431E-02 2.000E-02 
33 48 81 0.15 3.856 5.187E+01 3.330E+01 
41 64 105 -0.22 7.421 6.022E-02 2.950E+00 
17 30 47 -0.17 15.586 5.698E-02 1.010E-01 
28 50 78 0.00 10.607 5.568E-02 1.400E-01 
